t_rel_s,class,position,azimuth_deg,confidence,peak_amplitude,duration_ms
0.000,self_noise,,16.0,0.78,0.0727,0.0
2.007,self_noise,,-52.0,0.82,0.0747,0.1
4.017,self_noise,,-52.0,0.82,0.0719,0.2
6.010,self_noise,,-8.0,0.80,0.0683,0.0
8.011,self_noise,,-21.0,0.74,0.0626,0.0
10.001,self_noise,,-51.0,0.73,0.0551,0.0
10.891,clap,1,-89.0,0.89,0.6731,2.0
13.123,clap,1,-69.0,0.71,0.8970,4.2
15.610,clap,1,-89.0,0.89,0.4791,1.9
18.031,self_noise,,-56.0,0.80,0.0710,0.2
18.900,clap,2,-59.0,0.83,0.3230,10.7
20.863,clap,2,-62.0,0.79,0.5035,7.0
22.770,clap,2,-56.0,0.76,0.5808,4.5
26.026,self_noise,,-55.0,0.79,0.0631,0.2
26.570,clap,3,-51.0,0.82,0.3078,8.0
28.594,clap,3,-51.0,0.82,0.5083,10.3
30.540,clap,3,-50.0,0.81,0.7746,8.2
34.020,self_noise,,-55.0,0.77,0.0575,0.0
36.295,clap,4,-30.0,0.83,0.7324,16.0
38.350,clap,4,-31.0,0.82,0.6887,1.5
42.007,self_noise,,-56.0,0.77,0.0590,0.1
43.095,clap,5,-15.0,0.78,0.5154,8.1
45.075,clap,5,-16.0,0.80,0.5200,6.7
47.046,clap,5,-12.0,0.84,0.4342,11.0
50.008,self_noise,,-4.0,0.83,0.1153,0.8
52.354,clap,6,2.0,0.86,0.5197,7.7
54.214,clap,6,1.0,0.86,0.3333,6.7
57.634,clap,7,10.0,0.82,0.4429,7.9
59.434,clap,7,15.0,0.87,0.5584,6.0
61.354,clap,7,15.0,0.88,0.5254,7.1
64.574,clap,8,25.0,0.74,0.6780,2.9
66.285,clap,8,14.0,0.73,0.6899,11.0
68.175,clap,8,30.0,0.88,0.7134,5.4
71.485,clap,9,42.0,0.70,0.6265,9.8
73.405,clap,9,41.0,0.66,0.9129,7.8
75.375,clap,9,-6.0,0.60,0.9747,13.5
78.215,clap,10,63.0,0.80,0.6064,4.6
79.970,clap,10,61.0,0.81,0.6569,15.2
81.835,clap,10,63.0,0.80,1.0000,13.5
84.576,clap,11,73.0,0.83,0.7001,3.8
86.456,clap,11,75.0,0.83,0.5156,10.5
88.256,clap,11,73.0,0.81,0.6386,6.9
91.046,clap,12,86.0,0.84,0.5947,7.2
92.826,clap,12,84.0,0.83,0.8209,1.0
94.627,clap,12,85.0,0.84,0.6871,1.4
98.016,self_noise,,-8.0,0.83,0.0577,0.0
99.997,self_noise,,-8.0,0.85,0.0482,0.0
